run iteration throughput state cores frequency explore
7 212 9964 6 3 3 0
7 213 12801 6 4 4 0
7 214 13228 6 4 3 0
7 215 13487 6 4 3 0
7 216 10391 6 3 4 0
7 217 9891 6 3 4 0
7 218 6984 5 2 4 0
7 219 10684 6 3 3 0
7 220 6431 5 2 2 0
7 221 9638 6 3 3 0
7 222 11499 6 4 2 0

8 223 69 1 4 3 0
8 224 2510 2 4 2 0
8 225 2312 2 4 2 0
8 226 2769 2 4 2 0
8 227 2643 2 4 2 0
8 228 2373 2 4 2 0
8 229 2531 2 4 2 0
8 230 2326 2 4 2 0
8 231 2371 2 4 2 0
8 232 2948 2 4 2 0
8 233 4030 3 4 2 0
8 234 5580 4 3 1 0
8 235 6758 5 3 1 0
8 236 7072 5 3 1 0
8 237 7349 5 3 1 0
8 238 8142 6 3 2 0
8 239 13428 6 4 3 0
8 240 11383 6 4 2 0
8 241 11775 6 4 2 0
8 242 8920 6 3 2 0
8 243 4927 4 2 1 0
8 244 4659 3 2 2 0
8 245 2467 2 1 1 0
8 246 5105 4 2 1 0
8 247 5834 4 2 2 0
8 248 7279 5 2 3 0
8 249 4046 3 1 3 0
8 250 2959 2 1 2 0
8 251 5844 4 2 2 0
8 252 7487 5 2 3 0

9 253 2189 2 3 3 0
9 254 2791 2 4 3 0
9 255 3048 2 4 3 0
9 256 3089 2 4 3 0
9 257 3538 3 4 3 0
9 258 2822 2 3 2 0
9 259 2621 2 4 2 0
9 260 2832 2 4 2 0
9 261 2997 2 4 2 0
9 262 4054 3 4 2 0
9 263 5648 4 3 1 0
9 264 7591 5 3 2 0
9 265 10435 6 4 2 0
9 266 8906 6 3 3 0
9 267 9735 6 3 3 0
9 268 11161 6 4 2 0
9 269 13313 6 4 3 0
9 270 11234 6 4 2 0
9 271 11903 6 4 2 0
9 272 8424 6 3 1 0
9 273 5684 4 2 1 0
9 274 5869 4 2 2 0
9 275 7047 5 2 3 0
9 276 3679 3 1 3 0
9 277 2983 2 1 2 0

10 278 502 1 2 2 0
10 279 2711 2 2 3 0
10 280 2860 2 3 3 0
10 281 2839 2 4 3 0
10 282 3144 2 4 3 0
10 283 2987 2 4 3 0
10 284 2831 2 4 3 0
10 285 2522 2 4 3 0
10 286 3267 3 4 3 0
10 287 3820 3 3 2 0
10 288 4843 4 2 1 0
10 289 2506 2 1 1 0
10 290 4277 3 2 1 0
10 291 2443 2 1 1 0
10 292 4527 3 2 1 0
10 293 2591 2 1 1 0
10 294 5011 4 2 1 0
