run iteration throughput state cores frequency explore
3 201 1102320 3 3 14 0
3 202 1101598 3 3 14 0
3 203 1099768 3 3 14 0
3 204 1103709 3 3 14 0
3 205 1098253 3 3 14 0
3 206 1101187 3 3 14 0
3 207 1100659 3 3 14 0
3 208 1097510 3 3 14 0
3 209 1103506 3 3 14 0
3 210 1099818 3 3 14 0
3 211 1103002 3 3 14 0
3 212 1099118 3 3 14 0
3 213 1102471 3 3 14 0
3 214 1099862 3 3 14 0
3 215 1102521 3 3 14 0
3 216 1101635 3 3 14 0
3 217 1098005 3 3 14 0
3 218 1105014 3 3 14 0
3 219 1099945 3 3 14 0
3 220 1103120 3 3 14 0
3 221 1099831 3 3 14 0
3 222 1101931 3 3 14 0
3 223 1102253 3 3 14 0
3 224 1097528 3 3 14 0
3 225 1102227 3 3 14 0
3 226 1099903 3 3 14 0
3 227 1099178 3 3 14 0
3 228 1102539 3 3 14 0
3 229 1099251 3 3 14 0

4 230 1971597 5 3 14 0
4 231 1213436 3 3 14 0
4 232 1149294 3 3 14 0
4 233 1150127 3 3 14 0
4 234 1143332 3 3 14 0
4 235 1150331 3 3 14 0
4 236 1143268 3 3 14 0
4 237 1144271 3 3 14 0
4 238 1141324 3 3 14 0
4 239 1141083 3 3 14 0
4 240 1142330 3 3 14 0
4 241 1139620 3 3 14 0
4 242 1140154 3 3 14 0
4 243 1137912 3 3 14 0
4 244 1140402 3 3 14 0
4 245 1139680 3 3 14 0
4 246 1140292 3 3 14 0
4 247 1139726 3 3 14 0
4 248 1139072 3 3 14 0
4 249 1138312 3 3 14 0
4 250 1135565 3 3 14 0
4 251 1135487 3 3 14 0
4 252 1114229 3 3 14 0
4 253 1101277 3 3 14 0
4 254 1107110 3 3 14 0
4 255 1103140 3 3 14 0
4 256 1104102 3 3 14 0
4 257 1106064 3 3 14 0
4 258 1100398 3 3 14 0
4 259 1106421 3 3 14 0
4 260 1104058 3 3 14 0
4 261 1101752 3 3 14 0
4 262 1108913 3 3 14 0
4 263 1102607 3 3 14 0
4 264 1103360 3 3 14 0
4 265 1102605 3 3 14 0
4 266 1101909 3 3 14 0
4 267 1103577 3 3 14 0
4 268 1106370 3 3 14 0
4 269 1100552 3 3 14 0
4 270 1105835 3 3 14 0
4 271 1099117 3 3 14 0
4 272 1107771 3 3 14 0
4 273 1107879 3 3 14 0
4 274 1097577 3 3 14 0
4 275 1105249 3 3 14 0
4 276 1101451 3 3 14 0
4 277 1105291 3 3 14 0
4 278 1099955 3 3 14 0
4 279 1105308 3 3 14 0
4 280 1099632 3 3 14 0
4 281 1105401 3 3 14 0
